filename,lines of code,number of commits,date of first commit,date of last commit
./atom.c,482,13,Nov 20 2009,Jun 18 2015
./beam_bif_load.c,1115,72,Nov 20 2009,Jun 18 2015
./beam_bp.c,1682,46,Nov 20 2009,Jun 18 2015
./beam_catches.c,174,12,Nov 20 2009,Jun 18 2015
./beam_debug.c,700,37,Nov 20 2009,Jun 18 2015
./beam_emu.c,7112,198,Nov 20 2009,Jun 18 2015
./beam_load.c,6392,137,Nov 20 2009,Jun 18 2015
./beam_ranges.c,350,6,Jan 18 2012,Jun 18 2015
./benchmark.c,301,5,Nov 20 2009,Jun 18 2015
./bif.c,5175,125,Nov 20 2009,Jun 18 2015
./big.c,2745,33,Nov 20 2009,Jun 18 2015
./binary.c,1531,30,Nov 20 2009,Jun 18 2015
./break.c,886,49,Nov 20 2009,Jun 18 2015
./code_ix.c,170,13,Jan 31 2012,Jun 18 2015
./copy.c,738,26,Nov 20 2009,Jun 18 2015
./dist.c,3727,69,Nov 20 2009,Jun 18 2015
./elib_memmove.c,114,2,Nov 20 2009,Jun 18 2015
./erl_afit_alloc.c,269,14,Nov 20 2009,Jun 18 2015
./erl_alloc.c,3981,94,Nov 20 2009,Jun 18 2015
./erl_alloc_util.c,6245,79,Nov 20 2009,Jun 18 2015
./erl_ao_firstfit_alloc.c,1289,21,Jun 16 2011,Jun 18 2015
./erl_arith.c,2056,6,Nov 20 2009,Jun 18 2015
./erl_async.c,698,32,Nov 20 2009,Jun 18 2015
./erl_bestfit_alloc.c,1180,18,Nov 20 2009,Jun 18 2015
./erl_bif_binary.c,2930,34,Apr 21 2010,Jun 18 2015
./erl_bif_chksum.c,606,7,Nov 20 2009,Jun 18 2015
./erl_bif_ddll.c,1936,29,Nov 20 2009,Jun 18 2015
./erl_bif_guard.c,695,14,Nov 20 2009,Jun 18 2015
./erl_bif_info.c,4363,142,Nov 20 2009,Jun 18 2015
./erl_bif_lists.c,406,9,Nov 20 2009,Jun 18 2015
./erl_bif_op.c,332,8,Nov 20 2009,Jun 18 2015
./erl_bif_os.c,205,7,Nov 20 2009,Jun 18 2015
./erl_bif_port.c,1467,39,Nov 20 2009,Jun 18 2015
./erl_bif_re.c,1516,21,Nov 20 2009,Jun 18 2015
./erl_bif_trace.c,2378,54,Nov 20 2009,Jun 18 2015
./erl_bif_unique.c,557,2,Oct 30 2014,Jun 18 2015
./erl_bits.c,2061,26,Nov 20 2009,Jun 18 2015
./erl_cpu_topology.c,2352,16,Sep 23 2010,Jun 18 2015
./erl_db.c,3986,64,Nov 20 2009,Jun 18 2015
./erl_db_hash.c,3025,38,Nov 20 2009,Jun 18 2015
./erl_db_tree.c,3268,30,Nov 20 2009,Jun 18 2015
./erl_db_util.c,5853,73,Nov 20 2009,Jun 18 2015
./erl_debug.c,656,14,Nov 20 2009,Jun 18 2015
./erl_drv_thread.c,804,14,Nov 20 2009,Jun 18 2015
./erl_fun.c,304,10,Nov 20 2009,Jun 18 2015
./erl_gc.c,2834,74,Nov 20 2009,Jun 18 2015
./erl_goodfit_alloc.c,669,16,Nov 20 2009,Jun 18 2015
./erl_hl_timer.c,3178,8,May 5 2015,Jun 22 2015
./erl_init.c,2304,142,Nov 20 2009,Jun 18 2015
./erl_instrument.c,1277,12,Nov 20 2009,Jun 18 2015
./erl_lock_check.c,1353,57,Nov 20 2009,Jun 18 2015
./erl_lock_count.c,700,16,Nov 20 2009,Jun 18 2015
./erl_map.c,2913,77,May 21 2013,Jun 18 2015
./erl_math.c,252,3,Nov 20 2009,Jun 18 2015
./erl_md5.c,340,1,Nov 20 2009,Nov 20 2009
./erl_message.c,1397,44,Nov 20 2009,Jun 18 2015
./erl_monitors.c,1047,10,Nov 20 2009,Jun 18 2015
./erl_mtrace.c,1265,10,Nov 20 2009,Jun 18 2015
./erl_nif.c,3862,132,Nov 20 2009,Jun 18 2015
./erl_node_tables.c,1848,37,Nov 20 2009,Jun 18 2015
./erl_port_task.c,2161,64,Nov 20 2009,Jun 18 2015
./erl_posix_str.c,642,2,Nov 20 2009,Oct 8 2012
